Sebep Kod,Sebep Açıklama,Zorunlu Alan,Sebep Nevi
1200,657 S.K. 85. MAD. ASKERLİK HİZMETİ İNTİBAKINDA DEĞERLENDİRİLDİ. (HAZARDA VE SEFERDE),Başlama Tarihi,5
1201,657 S.K. 94. MD. UYARINCA ÇEKİLME(İSTİFA),Bitiş Tarihi,2
1202,AÇIKTAN ATANMA (657 S.K. 97. MD.),Başlama Tarihi,1
1203,4688 S.K. GEÇİCİ 7. MD. GEREĞİ,Başlama Tarihi,5
1204,657 S.K. 163. MD. UYARINCA İNTİBAK,Başlama Tarihi,5
1205,AÇIKTAN ATANMA (657 S.K. 224. MD. UYARINCA),Başlama Tarihi,1
1206,İL DAİMİ ENCÜMEN ÜYELİĞİNE SEÇİLEREK İLGİLENDİRİLDİ,Başlama Tarihi,1
1207,İL DAİMİ ENCÜMEN ÜYELİĞİNİN SONA ERMESİ,Bitiş Tarihi,2
1208,657 S.K. 125. MD. A BENDİ UYARINCA (UYARMA),Başlama Tarihi,5
1209,657 S.K. 125. MD. B BENDİ UYARINCA (KINAMA),Başlama Tarihi,5
1210,657 S.K. 125. MD. C BENDİ UYARINCA (AYLIKTAN KESME),Başlama Tarihi,5
1211,657 S.K. 55. MD. UYARINCA,Başlama Tarihi,5
1212,BAKANLIĞIN LAĞVEDİLMESİ NEDENİYLE AYRILIŞ,Bitiş Tarihi,6
1213,DÖRTLÜ KARARNAMA İLE ATANMA (AÇIKTAN),Başlama Tarihi,1
1214,DÖRTLÜ KARARNAMA İLE ATANMA (KURUMLAR ARASI),Başlama Tarihi,5
1215,DÖRTLÜ KARARNAMA İLE ATANMA (KURUM İÇİ),Başlama Tarihi,5
1216,BİRİMİN LAĞVEDİLMESİ,Bitiş Tarihi,6
1217,ATANMA (657 S.K. EK GEÇİCİ 51. MD.),Başlama Tarihi,5
1218,657 S.K. EK GEÇİCİ 52. MD. İNTİBAK,Başlama Tarihi,5
1219,ATANMA VE 657 S.K. EK GEÇİCİ 41. MD. İNTİBAKI YAPILDI,Başlama Tarihi,1
1220,657 S.K. EK GEÇİCİ 41. MD. İNTİBAKI YAPILDI,Başlama Tarihi,5
1221,2-5-8 S.K.H.K. GÖRE İNTİBAK,Başlama Tarihi,5
1222,399 S.K.H.K. UYARINCA İNTİBAKI YAPILDI,Başlama Tarihi,5
1223,5434 S.K. GEÇİCİ 202. MD. GEREĞİ E.K.E.A. YÜKSELTİLMESİ (AYLIKSIZ İZİN),Başlama Tarihi,5
1224,2547 S.K. 39. MD. UYARINCA AYLIKLI İZİNE AYRILDI,Bitiş Tarihi,6
1225,2547 S.K. 39. MD. UYARINCA AYLIKLI İZİN DÖNÜŞÜ GÖREVE BAŞLAMA,Başlama Tarihi,5
1226,AÇIKTAN ATANMA (3713 S.K. EK 1 MD. UYARINCA),Başlama Tarihi,1
1227,GEÇİCİ GÖREVLENDİRME SÜRESİNİN UZATILMASI,Başlama Tarihi,5
1228,SÖZLEŞME UZATIMI VE İNTİBAK (HİZMET DEĞER.) (MAHKEME KARARI GEREĞİNCE),Başlama Tarihi,5
1229,TERFİ (K.H.A. VE E.K.E.A. KADEME İLERLEME İLE 657/64. MD. (90 PUAN),Başlama Tarihi,5
1230,7244 S.K. YENİDEN YAPILANMA,Başlama Tarihi,5
1231,SÖZLEŞMENİN FESH EDİLMESİ VE MÜKTESEP AYLIK ÖDENMESİ (GÖREVİNE DEVAM ETMEKTE),Başlama Tarihi,5
1232,4389 S.K. GÖRE GEÇİCİ 1. MD. UYARINCA PERSONEL DEVRİ,Başlama Tarihi,5
1233,657 S.K. 79. MD. GEREĞİ GÖREVE BAŞLAMA (AYLIKLI İZİNDE İKEN),Başlama Tarihi,5
1234,SECONDEE EĞİTİMİ NEDENİYLE GÖREVDEN AYRILMA,Bitiş Tarihi,6
1235,SECONDEE EĞİTİMİ NEDENİYLE GÖREVE BAŞLAMA,Başlama Tarihi,5
1236,AÇIKTAN ATANMA (657 S.K. 36/A-1 VE A-9 FIK. GEREĞİ),Başlama Tarihi,1
1237,657 S.K. 36/A-1 VE A-9 FIKRALARI,Başlama Tarihi,5
1238,5737 S.K. GEREĞİ  YENİDEN YAPILANDIRILMASI (VAKIFLAR GENEL MÜDÜRLÜĞÜ),Başlama Tarihi,5
1239,5737 S.K. GEREĞİ  ATANMA (VAKIFLAR GENEL MÜDÜRLÜĞÜ),Başlama Tarihi,5
1240,AÇIK SÜRESİ SONUNDA (657 S.K. 145. MD. GEREĞİ) GÖREVE İADE EDİLDİ,Başlama Tarihi,1
1241,UZMANLIK EĞİTİMİNİ TAMAMLAMIŞTIR.,Başlama Tarihi,5
1242,KURULUŞ DEĞİŞİKLİĞİ,Başlama Tarihi,5
1243,UNVAN DEĞİŞİKLİĞİ (4457 S.K. GEÇİCİ 4. MD. GEREĞİ),Başlama Tarihi,5
1244,AÇIKTAN ATANMA VE ASKERLİK HİZMETİ İNTİBAKTA DEĞERLENDİRİLDİ (399 S.K.H.K. TABİ),Başlama Tarihi,1
1245,KISA SÜRELİ KADEME İLERLEMESİNİN DURDURULMASI (233 S.K.H.K. TABİ),Başlama Tarihi,5
1246,UZUN SÜRELİ KADEME İLERLEMESİNİN DURDURULMASI (233 S.K.H.K. TABİ),Başlama Tarihi,5
1247,ASKERLİK NEDENİYLE AYLIKSIZ İZİNE AYRILDI (4857 S.K. GÖRE),Bitiş Tarihi,2
1248,AYLIKSIZ İZİNE AYRILDI (4857 S.K. GÖRE),Bitiş Tarihi,2
1249,DEVREDİLEN PERSONEL GÖREVE BAŞLAMA (BANKANIN KAPATILMASI NEDENİYLE),Başlama Tarihi,5
1250,UNVAN DÖNÜŞÜMÜ,Başlama Tarihi,5
1251,122 S.K.H.K. GEREĞİ İNTİBAK,Başlama Tarihi,5
1252,2547 S.K. GEREĞİ İNTİBAK,Başlama Tarihi,5
1253,355 S.K.H.K. GEREĞİ (BAKANLIKLARIN AYRILMASI-KÜLTÜR BAK.)BAŞLAMA,Başlama Tarihi,5
1254,3837 S.K. ÜNİVERSİTE DEĞİŞİKLİĞİ DEVİR,Başlama Tarihi,5
1255,41 S.K.H.K.,Başlama Tarihi,5
1256,433 S.K.H.K.,Başlama Tarihi,5
1257,496 S.K.H.K.,Başlama Tarihi,5
1258,"AÇIKTAN ATANMA VE 457,458,459 S.K.H.K. UYARINCA 1 DERECE YÜKSELTİLMESİ",Başlama Tarihi,1
1259,AÇIKTAN ATANMA VE ASKERLİK HİZMETİ İNTİBAKTA DEĞERLENDİRİLDİ,Başlama Tarihi,1
1260,ASALET TASTİKİ VE ADAYLIK HİZ. DEĞ. VE ÖĞRENİM İLE KADRO DEĞİŞİKLİĞİ,Başlama Tarihi,5
1261,ASALET TASTİKİ VE NAKLEN TAYİN (KAMU İDARESİ İÇİ) BAŞLAMA,Başlama Tarihi,5
1262,ASALET TASTİKİ VE NAKLEN TAYİN (KAMU İDARESİ DIŞI) BAŞLAMA,Başlama Tarihi,5
1263,ASALET TASTİKİ VE UNVAN DEĞİŞİKLİĞİ,Başlama Tarihi,5
1264,ASALET TASTİKİ VE ADAYLIK HİZ. DEĞ. VE 657 S.K. 36/A-9 FIK. GEREĞİ,Başlama Tarihi,5
1265,ASKERLİK HİZMETİ İLE 657 S.K. 36/A-6(b) FIK. DEĞERLENDİRİLDİ,Başlama Tarihi,5
1266,ASKERLİK HİZMETİ İLE 657 S.K. 36/A-9 FIK. (DOKTORA) DEĞERLENDİRİLDİ,Başlama Tarihi,5
1267,ASKERLİK HİZMETİ İLE 657 S.K. 36/A-9 FIK. GEREĞİ,Başlama Tarihi,5
1268,AYLIKSIZ İZİN DÖNÜŞÜ GÖREVE BAŞLAMA VE UZMANLIK DEĞERLENDİRİLDİ,Başlama Tarihi,1
1269,İLİŞİĞİ KESİLDİ (MEZUN OLDUĞUNDAN),Bitiş Tarihi,2
1270,TERFİ (KADRO DERECE İLERLEME) İLE 657 S.K. 36/A-9 FIK. (DOKTORA) DEĞERLENDİRİLDİ,Başlama Tarihi,5
1271,KADRO DEĞİŞİKLİĞİ (MAHKEME KARARI),Başlama Tarihi,5
1272,KADRO DEĞİŞİKLİĞİ VE 657 S.K. 36/A-1 FIK. (AVUKATLIK STAJI) DEĞERLENDİRİLDİ,Başlama Tarihi,5
1273,KADRO DEĞİŞİKLİĞİ VE 657 S.K. 36. MD. A BEND. 12-D FIK. (ÖĞRENİM DEĞ.),Başlama Tarihi,5
1274,KADRO DEĞİŞİKLİĞİ VE TERFİ,Başlama Tarihi,5
1275,KADRO DEĞİŞİKLİĞİ VE 657 S.K. 36/A-9 FIK. (Y. LİSANS) DEĞERLENDİRİLDİ,Başlama Tarihi,5
1276,"KADRO DEĞİŞİKLİĞİ, 657 S.K. 36/A-9 VE A-10 FIK. (DOKTORA VE DOÇENTLİK) DEĞERLENDİRİLDİ",Başlama Tarihi,5
1277,TERFİ (K.H.A. VE GÖREV AYLIĞINDA) İLE 657 S.K. 36/A-9 FIK. (DOKTORA) DEĞERLENDİRİLDİ,Başlama Tarihi,5
1278,TERFİ (K.H.A. VE GÖREV AYLIĞINDA) VE UNVAN DEĞİŞİKLİĞİ,Başlama Tarihi,5
1279,NAKLEN TAYİN GELEN (2547/35 MD.) VE ASKERLİK HİZMET DEĞERLENDİRİLDİ,Başlama Tarihi,5
1280,NAKLEN TAYİN GELEN (2547/35 MD.) İLE 657 S.K. 36/A-9 FIK. (DOKTORA) DEĞERLENDİRİLDİ,Başlama Tarihi,5
1281,NAKLEN TAYİN GELEN (2547/35 MD.) VE TERFİ,Başlama Tarihi,5
1282,NAKLEN TAYİN GELEN (2547/35 MD.) VE 657 S.K. 36/A-9 FIK. (Y. LİSANS) DEĞERLENDİRİLDİ,Başlama Tarihi,5
1283,NAKLEN TAYİN GELEN (KAMU İDARESİ DIŞI) VE TERFİ (K.H.A. VE GÖREV AYLIĞINDA),Başlama Tarihi,5
1284,NAKLEN TAYİN GELEN (KAMU İDARESİ İÇİ)VE 657 S.K. 64. MD. 527 S.K.H.K. GEREĞİ,Başlama Tarihi,5
1285,NAKLEN TAYİN GELEN (KAMU İDARESİ DIŞI)VE 657 S.K. 64. MD. 527 S.K.H.K. GEREĞİ,Başlama Tarihi,5
1286,NAKLEN TAYİN GELEN (KAMU İDARESİ İÇİ) VE 2182 S.K. UYA. 1 DERECE YÜKSELTİLMESİ,Başlama Tarihi,5
1287,"NAKLEN TAYİN GELEN (KAMU İDARESİ İÇİ) VE 457,458,459 S.K.H.K. UYA. 1 DERECE YÜKSELTİLMESİ",Başlama Tarihi,5
1288,NAKLEN TAYİN GELEN (KAMU İDARESİ İÇİ) VE 5289 S.K. UYA. 1 DERECE YÜKSELTİLMESİ,Başlama Tarihi,5
1289,NAKLEN TAYİN GELEN (KAMU İDARESİ DIŞI) VE 2182 S.K. UYA. 1 DERECE YÜKSELTİLMESİ,Başlama Tarihi,5
1290,"NAKLEN TAYİN GELEN (KAMU İDARESİ DIŞI) VE 457,458,459 S.K.H.K. UYA. 1 DERECE YÜKSELTİLMESİ",Başlama Tarihi,5
1291,NAKLEN TAYİN GELEN (KAMU İDARESİ DIŞI) VE 5289 S.K. UYA. 1 DERECE YÜKSELTİLMESİ,Başlama Tarihi,5
1292,NAKLEN TAYİN GELEN (KAMU İDARESİ İÇİ) İLE 657 S.K. 36/A-9 FIK. (DOKTORA) DEĞERLENDİRİLDİ,Başlama Tarihi,5
1293,NAKLEN TAYİN GELEN (KAMU İDARESİ DIŞI) İLE 657 S.K. 36/A-9 FIK. (DOKTORA) DEĞERLENDİRİLDİ,Başlama Tarihi,5
1294,NAKLEN TAYİN GELEN (KAMU İDARESİ İÇİ) VE TERFİ (E.K.E.A. İLERLEMESİ),Başlama Tarihi,5
1295,NAKLEN TAYİN GELEN (KAMU İDARESİ İÇİ) İLE 657 S.K. 36/A-6(b) FIK. DEĞERLENDİRİLDİ,Başlama Tarihi,5
1296,NAKLEN TAYİN GELEN (KAMU İDARESİ DIŞI) İLE 657 S.K. 36/A-6(b) FIK. DEĞERLENDİRİLDİ,Başlama Tarihi,5
1297,NAKLEN TAYİN GELEN (KAMU İDARESİ İÇİ) İLE KADRO DEĞİŞİKLİĞİ,Başlama Tarihi,5
1298,NAKLEN TAYİN GELEN (KAMU İDARESİ DIŞI) İLE KADRO DEĞİŞİKLİĞİ,Başlama Tarihi,5
1299,NAKLEN TAYİN GELEN (KAMU İDARESİ İÇİ) VE TERFİ (K.H.A. VE GÖREV AYLIĞINDA),Başlama Tarihi,5
1300,NAKLEN TAYİN GELEN (KAMU İDARESİ DIŞI) VE TERFİ (K.H.A. VE GÖREV AYLIĞINDA),Başlama Tarihi,5
1301,NAKLEN TAYİN GELEN (KAMU İDARESİ İÇİ) VE 657 S.K. 36. MD. A BEND. 12-D FIK. (ÖĞRENİM DEĞ.),Başlama Tarihi,5
1302,NAKLEN TAYİN GELEN (KAMU İDARESİ DIŞI) VE 657 S.K. 36. MD. A BEND. 12-D FIK. (ÖĞRENİM DEĞ.),Başlama Tarihi,5
1303,NAKLEN TAYİN GELEN (KAMU İDARESİ İÇİ) VE UZMANLIK DEĞERLENDİRİLDİ,Başlama Tarihi,5
1304,NAKLEN TAYİN GELEN (KAMU İDARESİ DIŞI) VE UZMANLIK DEĞERLENDİRİLDİ,Başlama Tarihi,5
1305,NAKLEN TAYİN GELEN (KAMU İDARESİ İÇİ) VE 657 S.K. 36/A-9 FIK. (Y. LİSANS) DEĞERLENDİRİLDİ,Başlama Tarihi,5
1306,NAKLEN TAYİN GELEN (KAMU İDARESİ DIŞI) VE 657 S.K. 36/A-9 FIK. (Y. LİSANS) DEĞERLENDİRİLDİ,Başlama Tarihi,5
1307,TERFİ (K.H.A. VE GÖREV AYLIĞINDA) VE 657/64. MD. (90 PUAN),Başlama Tarihi,5
1308,TERFİ (K.H.A. - E.K.E.A. VE GÖREV AYLIĞINDA) İLE 657 S.K. 36/A-9 FIK. (DOKTORA) DEĞERLENDİRİLDİ,Başlama Tarihi,5
1309,TERFİ (K.H.A. - E.K.E.A. VE GÖREV AYLIĞINDA) İLE 657 S.K. 36/A-6(b) FIK. DEĞERLENDİRİLDİ,Başlama Tarihi,5
1310,TERFİ (K.H.A. - E.K.E.A. VE GÖREV AYLIĞINDA) İLE KADRO DEĞİŞİKLİĞİ,Başlama Tarihi,5
1311,TERFİ (K.H.A. - E.K.E.A. VE GÖREV AYLIĞINDA) İLE 657 S.K. 36. MD. A BEND. 12-D FIK. (ÖĞRENİM DEĞ.),Başlama Tarihi,5
1312,TERFİ (K.H.A. - E.K.E.A. VE GÖREV AYLIĞINDA) İLE UZMANLIK DEĞERLENDİRİLDİ,Başlama Tarihi,5
1313,TERFİ (K.H.A. - E.K.E.A. VE GÖREV AYLIĞINDA) VE UNVAN DEĞİŞİKLİĞİ,Başlama Tarihi,5
1314,TERFİ (K.H.A. - E.K.E.A. VE GÖREV AYLIĞINDA) İLE 657 S.K. 36/A-9 FIK. (Y. LİSANS) DEĞERLENDİRİLDİ,Başlama Tarihi,5
1315,UZMANLIĞINI ALDI (YANDAL),Başlama Tarihi,5
1316,UNVAN DEĞİŞİKLİĞİ VE 657 S.K. 36/A-9 FIK. (DOKTORA) DEĞERLENDİRİLDİ,Başlama Tarihi,5
1317,UNVAN DEĞİŞİKLİĞİ VE UZMANLIK DEĞERLENDİRİLDİ,Başlama Tarihi,5
1318,AÇIKTAN ATANMA (TEKRAR) VE 2182 S.K. UYARINCA 1 DERECE UYGULANDI,Başlama Tarihi,1
1319,AÇIKTAN ATANMA (TEKRAR) VE 657 S.K. 36/A-9 FIK. (DOKTORA) DEĞERLENDİRİLDİ,Başlama Tarihi,1
1320,AÇIKTAN ATANMA (TEKRAR) VE 657 S.K. 36. MD. A BEND. 12-D FIK. (ÖĞRENİM DEĞ.),Başlama Tarihi,1
1321,AÇIKTAN ATANMA (TEKRAR) VE UZMANLIK DEĞERLENDİRİLDİ,Başlama Tarihi,1
1322,AÇIKTAN ATANMA (TEKRAR) VE 657 S.K. 36/A-9 FIK. (YÜKSEK LİSANS) DEĞERLENDİRİLDİ,Başlama Tarihi,1
1323,AÇIKTAN ATANMA (TEKRAR)VE 657 S.K. 36/A-6(b) İLE 36/A-9 FIK. (Y. LİSANS) DEĞERLENDİRİLDİ,Başlama Tarihi,1
1324,AÇIKTAN ATANMA (TEKRAR) VE 657 S.K. 36/A-9 FIK. (Y.LİSANS) İLE 5434 SK.EK 18.MAD. UYA. HİZ. DEĞ.,Başlama Tarihi,1
1325,AÇIKTAN ATANMA (TEKRAR) VE 657 S.K. 36/A-9 FIK. (DOKTORA) İLE 84.MD. UYA. ASKERLİK HİZ.DEĞ,Başlama Tarihi,1
1326,AÇIKTAN ATANMA (TEKRAR) VE 657 S.K. 36/A-9 VE A-10 FIK. (DOKTORA VE DOÇENTLİK) DEĞ.,Başlama Tarihi,1
1327,AÇIKTAN ATANMA (TEKRAR) VE 657 S.K. 36/A-9 FIK. (DOKTORA) İLE 5434 SK.EK 18.MAD. UYA. HİZ. DEĞ.,Başlama Tarihi,1
1328,UNVAN DEĞİŞİKLİĞİ (6331 S.K. UYARINCA),Başlama Tarihi,5
1329,ATANMA (5302 S.K. 36. MD. UYARINCA),Başlama Tarihi,5
1330,118 SERİ NOLU TEBLİĞ GEREĞİ (657 S.K. 243/9 EK 64. MD. 90 PUAN SİC. ORT. 1 KADEME),Başlama Tarihi,5
1331,118 SERİ NOLU TEBLİĞ GEREĞİ (657 S.K. 64. MD. 90 PUAN KADEME İLER. İLE 37. MD. DERECE YÜKSELTİLMESİ),Başlama Tarihi,5
1332,BÜTÇE DEĞİŞİKLİĞİ (DÖNER SERMAYEYE GEÇTİ),Başlama Tarihi,5
1333,BÜTÇE DEĞİŞİKLİĞİ (ÖZEL BÜTÇEYE GEÇTİ),Başlama Tarihi,5
1334,657 S.K. 36 MD. A BEND. 6-B VE C BEND. 1. FIK. İNTİBAKI,Başlama Tarihi,5
1335,AÇIKTAN ATANMA (657 S.K. 36/A-3 FIK. GEREĞİ),Başlama Tarihi,1
1336,"ASALET TASTİKİ İLE 457,458,459 S.K.H.K. UYARINCA 1 DERECE UYGULANDI",Başlama Tarihi,5
1337,ASKERLİK DÖNÜŞÜ GÖREVE BAŞLAMA NAKLEN TAYİN GELEN (KAMU İDARESİ DIŞI),Başlama Tarihi,1
1338,ASKERLİK DÖNÜŞÜ GÖREVE BAŞLAMA NAKLEN TAYİN GELEN (KAMU İDARESİ İÇİ) İLE ASALET TASDİKİ,Başlama Tarihi,1
1339,ASKERLİK DÖNÜŞÜ GÖREVE BAŞLAMA NAKLEN TAYİN GELEN (KAMU İDARESİ İÇİ) İLE TERFİ (K.H.A. VE E.K.E.A.),Başlama Tarihi,1
1340,SÖZLEŞMELİ SİGORTALI İKEN KADROYA GEÇEREK EMEKLİ SANDIĞI İLE İLGİLENDİRİLDİ (BANKACILIK KANUNU),Başlama Tarihi,1
1341,SÖZLEŞMELİ OLARAK ÇALIŞMAKTA İKEN KADROYA GEÇEREK EMEKLİ SANDIĞI İLE İLGİLENDİRİLDİ (3239 SK MD-134),Başlama Tarihi,1
1342,399 S.K.H.K. GEÇ.1. MD. UYA. EMEKLİ SANDIĞI İLE İLGİLENDİRİLDİ İNTİBAKI YAPILDI (MAHKEME KARARIYLA),Başlama Tarihi,1
1343,KADEME DURDURMA CEZASI AYLIKTAN KESME CEZASINA DÖNÜŞTÜRÜLDÜ,Başlama Tarihi,5
1344,6114 S.K. GEÇ. 1. MD. UYARINCA ATANMA  ,Başlama Tarihi,5
1345,657 S.K. 74. MD. GEREĞİ YER DEĞİŞTİRME SURETİYLE ATANMA VE 657 S.K. 68/B GÖRE KADRO DERECE. DEĞ.,Başlama Tarihi,5
1346,BAŞKA BİR GÖREVE ATANMAK ÜZERE GÖREVDEN AYRILDI (KAMU İDARESİ İÇİ),Bitiş Tarihi,6
1347,BAŞKA BİR GÖREVE ATANMAK ÜZERE GÖREVDEN AYRILDI (KAMU İDARESİ DIŞI),Bitiş Tarihi,6
1348,BRÜT AYLIĞINDAN 1/2 KESİNTİ YAPILMASI CEZASI,Başlama Tarihi,5
1349,BRÜT AYLIĞINDAN 1/4 KESİNTİ YAPILMASI CEZASI,Başlama Tarihi,5
1350,AÇIKTAN ATANMA VE 657 S.K. 36/C-1 FIK. İNTİBAKI,Başlama Tarihi,1
1351,662 S.K.H.K. GEREĞİ NAKLEN TAYİN GELEN (KAMU İDARESİ DIŞI) VE UNVAN DEĞİŞİKLİĞİ,Başlama Tarihi,5
1352,662 S.K.H.K. GEREĞİ NAKLEN TAYİN GELEN (KAMU İDARESİ DIŞI),Başlama Tarihi,5
1353,662 S.K.H.K. GEREĞİ KADRO VE UNVAN DEĞİŞİKLİĞİ,Başlama Tarihi,5
1354,662 S.K.H.K. GEREĞİ KADRO DEĞİŞİKLİĞİ,Başlama Tarihi,5
1355,AYLIKSIZ İZNİN UZATILMASI (5538 S.K. 5. MADDESİ GEREĞİ),Bitiş Tarihi,6
1356,NAKLEN TAYİN GELEN (KAMU İDARESİ İÇİ) MAHKEME KARARI İLE UNVAN DEĞİŞİKLİĞİ,Başlama Tarihi,5
1357,"NAKLEN TAYİN GELEN (KAMU İDARESİ İÇİ) VE KADRO, 657 S.K. 36. MD. A BEND. 12-D FIK ÖĞR. İLE UNVAN DEĞ",Başlama Tarihi,5
1358,NAKLEN TAYİN GİDEN (KAMU İDARESİ İÇİ) (MAHKEME KARARI GEREĞİ),Bitiş Tarihi,6
1359,NAKLEN TAYİN GİDEN (KAMU İDARESİ İÇİ) (SÖZLEŞMELİ STATÜYE GEÇMEKLE 5434 TABİ)),Bitiş Tarihi,6
1360,AÇIKTA GEÇEN SÜRENİN MAHKEME KARARI GEREĞİ AYLIK ÖDENEN SÜRESİ İNTİBAKINDA DEĞERLENDİRİLDİ,Başlama Tarihi,5
1361,MAHKEME KARARI GEREĞİ 657 S.K. 243/9 EK 64.MAD UYG. (6 YILLIK SİCİL ORT. 90 PUAN) 1 KADEME VERİLMESİ,Başlama Tarihi,5
1362,GÖREVLENDİRME,Başlama Tarihi,5
1363,GÖREVLENDİRMENİN KALDIRILMASI,Bitiş Tarihi,6
1364,GEÇİCİ GÖREVLENDİRMENİN KALDIRILMASI,Bitiş Tarihi,6
1365,MAHKEME KARARI GEREĞİ UNVAN DEĞİŞİKLİĞİ,Bitiş Tarihi,6
1366,NAKLEN TAYİN GİDEN (KAMU İDARESİ DIŞI) MAHKEME KARARI GEREĞİ,Bitiş Tarihi,6
1367,NAKLEN TAYİN GİDEN (KAMU İDARESİ DIŞI) PROTOKOLE GÖRE,Bitiş Tarihi,6
1368,NAKLEN TAYİN GELEN (KAMU İDARESİ DIŞI) PROTOKOLE GÖRE,Başlama Tarihi,5
1369,2- 8 S.K.H.K. GEREĞİ İNTİBAK,Başlama Tarihi,5
1370,AYLIKSIZ İZİNDE İKEN NAKLEN TAYİN GİDEN (KAMU İDARESİ DIŞI),Bitiş Tarihi,6
1371,UZMANLIĞINI ALDI VE 657 S.K. 36. MD. A BEND. 11. FIKRASI DEĞERLENDİRİLDİ,Başlama Tarihi,5
1372,TBMM DE GEÇİCİ GÖREVLENDİRME NEDENİYLE AYRILIŞ,Bitiş Tarihi,6
1373,TBMM DE GEÇİCİ GÖREVLENDİRMENİN KALDIRILMASI,Bitiş Tarihi,6
1374,"NAKLEN TAYİN GELEN (KAMU İDARESİ İÇİ) KADRO, UNVAN DEĞİŞİKLİĞİ",Başlama Tarihi,5
1375,ATANMA (6191 S.K. GEREĞİ NAKLEN TAYİN GELEN) ,Başlama Tarihi,5
1376,6191 S.K. GEREĞİ AYRILMA (T.S.K.),Bitiş Tarihi,6
1377,MAHKEME KARARI GEREĞİNCE UYARMA CEZASI İPTAL EDİLDİ,Başlama Tarihi,5
1378,MAHKEME KARARI GEREĞİNCE KINAMA CEZASI İPTAL EDİLDİ,Başlama Tarihi,5
1379,MAHKEME KARARI GEREĞİNCE AYLIKTAN KESME CEZASI İPTAL EDİLDİ,Başlama Tarihi,5
1380,MAHKEME KARARI GEREĞİNCE KADEME İLERLEMESİNİN DURDURULMASI CEZASI İPTAL EDİLDİ,Başlama Tarihi,5
1381,657 S.K. 76. MADDE GEREĞİ KADRO DERECE TERFİSİ,Başlama Tarihi,5
1382,657 S.K. 76. MADDE GEREĞİ UNVAN DEĞİŞİKLİĞİ,Başlama Tarihi,5
1383,657 S.K. 76. MADDE GEREĞİ NAKLEN TAYİN GİDEN,Bitiş Tarihi,6
1384,657 S.K. 76. MADDE GEREĞİ NAKLEN TAYİN GELEN,Başlama Tarihi,5
1385,657 S.K. 74. MADDE GEREĞİ NAKLEN TAYİN GİDEN,Bitiş Tarihi,6
1386,657 S.K. 74. MADDE GEREĞİ NAKLEN TAYİN GELEN,Başlama Tarihi,5
1387,657 S.K. 73. MADDE GEREĞİ NAKLEN TAYİN GİDEN,Bitiş Tarihi,6
1388,657 S.K. 73. MADDE GEREĞİ NAKLEN TAYİN GELEN,Başlama Tarihi,5
1389,657 S.K. 45. MADDE GEREĞİ,Başlama Tarihi,5
1390,5345 S.K GEÇİCİ 2. MADDE GEREĞİ KURUM YAPILANMASI,Başlama Tarihi,5
1391,NAKLEN TAYİN GELEN (KAMU İDARESİ İÇİ) (MAHKEME KARARI GEREĞİ),Başlama Tarihi,5
1392,657 S.K. 45. 67.  VE 76. MD. GEREĞİ ATANMA,Başlama Tarihi,5
1393,657 S.K. 43/B. 67.  VE 68. MD. GEREĞİ TERFİ,Başlama Tarihi,5
1394,657 S.K. 76. MADDE GEREĞİ NAKLEN TAYİN GİDEN VE 657 S.K. 43/B MAD.,Bitiş Tarihi,6
1395,657 S.K. 43/B. VE 67.  MD. GEREĞİ TERFİ,Başlama Tarihi,5
1396,178 S.K.H.K. GEREĞİ KURUM YAPILANMASI,Başlama Tarihi,5
1397,3239 S.K. 134. MADDESİ UYARINCA İNTİBAK,Başlama Tarihi,5
1398,2802 S.K. 51. MADDESİ UYARINCA ÇEKİLME,Bitiş Tarihi,2
1399,KURUM ONAYI İLE PERSONEL DEVRİ,Başlama Tarihi,5
1400,207 S.K.H.K. GEREĞİ,Başlama Tarihi,5
1401,241 S.K.H.K. GEREĞİ HİZMET DEĞERLENDİRİLMESİ,Başlama Tarihi,5
1402,657 S.K. 45. 58. VE 159. MD. GEREĞİ,Başlama Tarihi,5
1403,657 S.K. 36. MD. A BEND. 12-D FIK. İLE 45 VE 76. MD. GEREĞİ İNTİBAK,Başlama Tarihi,5
1404,"657 S.K. 43/B, 68/B VE 76. MD. GEREĞİNCE",Başlama Tarihi,5
1405,657 S.K. . 74. MD. 4046 S.K. 22. MD. VE 4603 S.K. GEÇ. 1. MD. ATANMA,Başlama Tarihi,5
1406,AÇIKTAN ATANMA (3065 S.K. 5. MD. 3. FIK),Başlama Tarihi,1
1407,3239 S.K. 37. MADDESİ UYARINCA İNTİBAK,Başlama Tarihi,5
1408,3239 S.K. 116. MADDESİ UYARINCA İNTİBAK,Başlama Tarihi,5
1409,354 S.K.H.K. GEREĞİ KURUM YAPILANMASI,Başlama Tarihi,5
1410,3647 S.K. GEREĞİ İL VE İLÇE KURULMASI,Başlama Tarihi,5
1411,3656 S.K. GEREĞİ,Başlama Tarihi,5
1412,389 S.K.H.K. GEREĞİ KURUM YAPILANMASI,Başlama Tarihi,5
1413,4598 S.K. GEREĞİNCE,Başlama Tarihi,5
1414,4765 S.K. İL ADI DEĞİŞİKLİĞİ,Başlama Tarihi,5
1415,485 S.K.H.K. GEREĞİ KURUM YAPILANMASI,Başlama Tarihi,5
1416,543 S.K.H.K. GEREĞİ BİRİM YAPILANMASI,Başlama Tarihi,5
